domain_name,signal_name,n,pearson_r,top_quartile_minus_bottom_quartile
structure_intrusion_score,ri_100,395,-0.0616128431652359,-0.3630951751430336
structure_intrusion_score,harshness_proxy_z,396,0.06692778455772233,0.14561094769510216
structure_intrusion_score,seat_response_proxy_z,402,0.19124717935171226,0.6325132071648831
structure_intrusion_score,ri_x_harshness,395,0.005971842442038319,-0.006345387296773114
structure_intrusion_score,ri_x_seat_response,395,-0.11669088271356849,-0.19809647610751271
lower_extremity_score,ri_100,396,-0.06537802177079677,-0.35215098196328054
lower_extremity_score,harshness_proxy_z,397,0.19177333036975405,0.4193256116892825
lower_extremity_score,seat_response_proxy_z,403,0.23267872068003054,1.0328619304039166
lower_extremity_score,ri_x_harshness,396,-0.08320373367226687,-0.11776871226599223
lower_extremity_score,ri_x_seat_response,396,-0.10189387324913822,-0.27572665999102725
restraint_kinematics_score,ri_100,367,-0.05529265547701137,0.09741828458513761
restraint_kinematics_score,harshness_proxy_z,368,-0.014749303050081507,0.09453454275275211
restraint_kinematics_score,seat_response_proxy_z,371,0.12602212031143822,0.07013007137518215
restraint_kinematics_score,ri_x_harshness,367,0.06997345286747705,0.2808432098249775
restraint_kinematics_score,ri_x_seat_response,367,-0.11331418681745374,-0.14319715186684062
head_neck_chest_score,ri_100,397,0.012329640283622906,-0.08151054908533559
head_neck_chest_score,harshness_proxy_z,398,0.11881034820149323,0.3226539334408728
head_neck_chest_score,seat_response_proxy_z,404,0.10462155854800538,0.08007968355938694
head_neck_chest_score,ri_x_harshness,397,-0.0068035125396421975,-0.023372309757121845
head_neck_chest_score,ri_x_seat_response,397,-0.09878003213972132,-0.16959098644416049
