domain_name,scope,scope_value,model_name,n,r2,adj_r2,coef_intercept,coef_ri_100_z,coef_harshness_proxy_z,coef_seat_response_proxy_z,coef_ri_x_harshness,coef_ri_x_seat_response
structure_intrusion_score,test_side,passenger,ri_only,52.0,0.013956322059195614,-0.005764551499620518,-0.6185684347587687,0.25233798423659975,,,,
structure_intrusion_score,test_side,passenger,ri_plus_proxies,52.0,0.080231295688454,0.022745751668982295,-0.7737678919593545,0.3880129766140146,0.13096863968944428,-1.197087594652701,,
structure_intrusion_score,test_side,passenger,ri_plus_interactions,52.0,0.08027899125537907,-0.019690683608166726,-0.7731217301971338,0.3710816399453422,0.13043477150457417,-1.1960527546320732,0.0026108129247015,-0.16871481858910226
structure_intrusion_score,era,2015-2017,ri_only,130.0,0.05552256613470985,0.04814383618263729,0.25279343500455687,-1.6404482800342202,,,,
structure_intrusion_score,era,2015-2017,ri_plus_proxies,130.0,0.16690277850967306,0.14706713037895092,0.12623452759689693,-1.2560903479645154,0.05023114326894823,0.48573691628317994,,
structure_intrusion_score,era,2015-2017,ri_plus_interactions,130.0,0.18471314976090214,0.15183867999319656,0.11045052233074042,-0.8861711982592053,0.026949653656410832,0.4470683026462986,-0.6466525419072097,-0.7232937413786933
lower_extremity_score,test_side,passenger,ri_only,52.0,0.004664238644591423,-0.015242476582516762,0.2252442413568284,-0.12171939748918681,,,,
lower_extremity_score,test_side,passenger,ri_plus_proxies,52.0,0.411607986086609,0.374833485217022,0.18828058165958753,0.22322544320202312,0.3190410546567239,0.9649366432156222,,
lower_extremity_score,test_side,passenger,ri_plus_interactions,52.0,0.43354239245809223,0.37197091337745003,0.20594673127276983,-0.11420250370470254,0.3225892515680734,0.9916258779055793,0.10025001355688073,-2.9297632210563775
lower_extremity_score,era,2015-2017,ri_only,131.0,0.04554139748923114,0.03814249359379884,0.21411623415680184,-1.1129298679161883,,,,
lower_extremity_score,era,2015-2017,ri_plus_proxies,131.0,0.3993959516852038,0.38520845448091734,0.04761595856349836,-0.5874237026722072,0.1056422111897204,0.6320189899356254,,
lower_extremity_score,era,2015-2017,ri_plus_interactions,131.0,0.4230337699947886,0.3999551207945802,0.03411362717325919,-0.2733613569238705,0.0852143077961175,0.5984551136925362,-0.5955297423050218,-0.5925268200770286
restraint_kinematics_score,test_side,passenger,ri_only,52.0,0.025543955181887568,0.0060548342855253345,0.1667656189479857,0.3153484049939136,,,,
restraint_kinematics_score,test_side,passenger,ri_plus_proxies,52.0,0.05997577291093115,0.0012242587178642461,0.19994522093631828,0.3926575786940114,0.06988756056625062,0.6810172562815748,,
restraint_kinematics_score,test_side,passenger,ri_plus_interactions,52.0,0.08972516747974602,-0.00921774909854256,0.22302547357221345,0.4596659626388131,0.14795882124285498,0.7093962645511425,0.2478199469722939,2.9837015729961722
restraint_kinematics_score,era,2015-2017,ri_only,116.0,0.013451643309235206,0.00479771035580745,-0.0775809009351509,0.6146185805669596,,,,
restraint_kinematics_score,era,2015-2017,ri_plus_proxies,116.0,0.023504146897289968,-0.002651992025104022,-0.10003299616294692,0.7445726054605624,0.0717492006731216,0.08234867614028962,,
restraint_kinematics_score,era,2015-2017,ri_plus_interactions,116.0,0.036194994375757905,-0.0076143240617077,-0.1110822126912091,0.6937883476986473,0.10315826988940757,0.10671408947959327,-1.0154032520222076,0.9269081611399129
head_neck_chest_score,test_side,passenger,ri_only,52.0,0.015836845823355872,-0.003846417260177093,0.4514673446559023,0.19778969505556832,,,,
head_neck_chest_score,test_side,passenger,ri_plus_proxies,52.0,0.050106407865686986,-0.00926194164270755,0.48664013109927445,0.25012834639960924,0.046818815290489174,0.6035144269606663,,
head_neck_chest_score,test_side,passenger,ri_plus_interactions,52.0,0.053251063845664914,-0.049656429214588904,0.4983014266474811,0.18780282786278074,0.07235628440574284,0.619081990466267,0.10308135927853154,0.21751024011404305
head_neck_chest_score,era,2015-2017,ri_only,131.0,0.0032551812951951975,-0.004471522725772337,0.1933646456353366,-0.2627601002041065,,,,
head_neck_chest_score,era,2015-2017,ri_plus_proxies,131.0,0.06659032113936769,0.044541273607226706,0.17144957117025358,-0.015116804528392563,0.24482695388731932,-0.032365086505223614,,
head_neck_chest_score,era,2015-2017,ri_plus_interactions,131.0,0.06723233037400944,0.02992162358896988,0.17419947638389865,-0.040605799351509035,0.24796423206692741,-0.029925500061590553,0.17155548195030648,-0.035040436349562484
