working_mode_label,test_side,row_count,dimension,era,make_model_family
mode_0,driver,340,test_side,,
mode_0,passenger,52,test_side,,
mode_1,driver,6,test_side,,
mode_0,,144,era,2001-2014,
mode_0,,132,era,2015-2017,
mode_0,,116,era,2018-2026,
mode_1,,6,era,2001-2014,
mode_0,,13,make_model_family,,Ford Fusion
mode_0,,10,make_model_family,,Mitsubishi Galant
mode_0,,6,make_model_family,,Toyota Tundra
mode_0,,6,make_model_family,,Volvo S60
mode_0,,5,make_model_family,,Toyota Tacoma
mode_0,,4,make_model_family,,Acura TLX
mode_0,,4,make_model_family,,BMW X1
mode_0,,4,make_model_family,,Buick Encore
mode_0,,4,make_model_family,,Chevrolet Malibu
mode_0,,4,make_model_family,,Chevrolet Silverado 1500
mode_0,,4,make_model_family,,Ford Escape
mode_0,,4,make_model_family,,Ford Explorer
mode_0,,4,make_model_family,,Ford F 150
mode_0,,4,make_model_family,,Jeep Wrangler 4 door
mode_0,,4,make_model_family,,Kia Forte
mode_0,,4,make_model_family,,Kia Soul
mode_0,,4,make_model_family,,Ram 1500
mode_0,,4,make_model_family,,Toyota RAV4
mode_0,,3,make_model_family,,Chrysler Pacifica
mode_0,,3,make_model_family,,Ford Taurus
mode_0,,3,make_model_family,,GMC Acadia
mode_0,,3,make_model_family,,Honda Odyssey
mode_0,,3,make_model_family,,Honda Pilot
mode_0,,3,make_model_family,,Hyundai Sonata
mode_0,,3,make_model_family,,Hyundai Tucson
mode_0,,3,make_model_family,,Jeep Grand Cherokee
mode_0,,3,make_model_family,,Lexus ES 350
mode_0,,3,make_model_family,,Mazda 6
mode_0,,3,make_model_family,,Nissan Frontier
mode_0,,3,make_model_family,,Nissan Rogue
mode_0,,3,make_model_family,,Nissan Titan
mode_0,,3,make_model_family,,Toyota Highlander
mode_0,,3,make_model_family,,Toyota Sienna
mode_0,,2,make_model_family,,Acura TL
mode_0,,2,make_model_family,,Acura TSX
mode_0,,2,make_model_family,,Acura ZDX
mode_0,,2,make_model_family,,Audi A4
mode_0,,2,make_model_family,,BMW 328i
mode_0,,2,make_model_family,,Chevrolet Bolt
mode_0,,2,make_model_family,,Chevrolet Colorado
mode_0,,2,make_model_family,,Chevrolet Equinox
mode_0,,2,make_model_family,,Chevrolet Sonic
mode_0,,2,make_model_family,,Chevrolet Tahoe
mode_0,,2,make_model_family,,Chevrolet Traverse
mode_0,,2,make_model_family,,Chevrolet Volt
mode_0,,2,make_model_family,,Dodge Dart
mode_0,,2,make_model_family,,Fiat 500
mode_0,,2,make_model_family,,Honda CR V
mode_0,,2,make_model_family,,Honda Fit
mode_0,,2,make_model_family,,Honda HR V
mode_0,,2,make_model_family,,Honda Prologue
mode_0,,2,make_model_family,,Honda Ridgeline
mode_0,,2,make_model_family,,Hyundai Elantra
mode_0,,2,make_model_family,,Hyundai Santa Fe
mode_0,,2,make_model_family,,Hyundai Veloster
mode_0,,2,make_model_family,,Jeep Cherokee
mode_0,,2,make_model_family,,Jeep Compass
mode_0,,2,make_model_family,,Jeep Renegade
mode_0,,2,make_model_family,,Kia Rio
mode_0,,2,make_model_family,,Kia Sorento
mode_0,,2,make_model_family,,Lexus IS
mode_0,,2,make_model_family,,Lincoln Continental
mode_0,,2,make_model_family,,Mazda CX 5
mode_0,,2,make_model_family,,Mazda CX 9
mode_0,,2,make_model_family,,Mercedes Benz C 250
mode_0,,2,make_model_family,,Mercedes Benz GLC
mode_0,,2,make_model_family,,Mitsubishi Outlander
mode_0,,2,make_model_family,,Mitsubishi Outlander Sport
mode_0,,2,make_model_family,,Nissan Altima
mode_0,,2,make_model_family,,Nissan Maxima
mode_0,,2,make_model_family,,Nissan Pathfinder
mode_0,,2,make_model_family,,Nissan Sentra
mode_0,,2,make_model_family,,Subaru Forester
mode_0,,2,make_model_family,,Subaru Impreza
mode_0,,2,make_model_family,,Subaru Legacy
mode_0,,2,make_model_family,,Tesla Model 3
mode_0,,2,make_model_family,,Tesla Model S
mode_0,,2,make_model_family,,Toyota 4Runner
mode_0,,2,make_model_family,,Toyota Camry
mode_0,,2,make_model_family,,Toyota Corolla
mode_0,,2,make_model_family,,Toyota Corolla Cross
mode_0,,2,make_model_family,,Toyota Prius
mode_0,,2,make_model_family,,Toyota Prius c
mode_0,,2,make_model_family,,Toyota Prius v
mode_0,,2,make_model_family,,Volkswagen Atlas
mode_0,,2,make_model_family,,Volkswagen Jetta
mode_0,,2,make_model_family,,Volkswagen Passat
mode_0,,2,make_model_family,,Volkswagen Tiguan
mode_0,,2,make_model_family,,Volvo XC90
mode_0,,1,make_model_family,,Acura ILX
mode_0,,1,make_model_family,,Acura MDX
mode_0,,1,make_model_family,,Acura RDX
mode_0,,1,make_model_family,,Acura RLX
mode_0,,1,make_model_family,,Alfa Romeo Giulia
mode_0,,1,make_model_family,,Audi A3
mode_0,,1,make_model_family,,Audi A6
mode_0,,1,make_model_family,,Audi All new A5
mode_0,,1,make_model_family,,Audi Q3
mode_0,,1,make_model_family,,Audi Q5
mode_0,,1,make_model_family,,Audi Q7
mode_0,,1,make_model_family,,Audi e tron
mode_0,,1,make_model_family,,BMW 2 Series Gran Coupe
mode_0,,1,make_model_family,,BMW 228i
mode_0,,1,make_model_family,,BMW 330i
mode_0,,1,make_model_family,,BMW 535i
mode_0,,1,make_model_family,,BMW 540i
mode_0,,1,make_model_family,,BMW X3
mode_0,,1,make_model_family,,BMW X5
mode_0,,1,make_model_family,,BMW i3
mode_0,,1,make_model_family,,Buick Encore GX
mode_0,,1,make_model_family,,Buick Envision
mode_0,,1,make_model_family,,Buick LaCrosse
mode_0,,1,make_model_family,,Cadillac CTS
